Incident Date,Park Name,Cause of Death,Intent,Outcome,Sex,Age Range
7/19/10,Lake Mead National Recreation Area,Other Specified,Unintentional,Fatal injury,Undetermined,Undetermined
7/20/10,Grand Teton National Park,Fall/Slips,Unintentional,Fatal injury,Female,15-24
7/20/10,Valley Forge National Historical Park,Other Transport Crash,Unintentional,Fatal injury,Male,55-64
7/21/10,Zion National Park,Natural/Environmental,Unintentional,Fatal injury,Male,15-24
7/21/10,Grand Teton National Park,Fall/Slips,Unintentional,Fatal injury,Male,15-24
7/22/10,Zion National Park,Undetermined,Undetermined,Fatal injury,Male,15-24
7/24/10,Glen Canyon National Recreation Area,Fall/Slips,Unintentional,Fatal injury,Male,15-24
7/24/10,Oxon Cove Park & Oxon Hill Farm,Other Transport Crash,Unintentional,Fatal injury,Male,Undetermined
7/24/10,Gateway National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Undetermined
7/24/10,Gateway National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Undetermined
7/25/10,Lake Roosevelt National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
7/25/10,Rocky Mountain National Park,Natural/Environmental,Unintentional,Fatal injury,Male,35-44
7/27/10,Buffalo National River,Drowning,Unintentional,Fatal injury,Male,15-24
7/27/10,Yellowstone National Park,Drowning,Unintentional,Fatal injury,Female,15-24
7/27/10,Great Smoky Mountains National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
7/27/10,Mount Rainier National Park,Fall/Slips,Unintentional,Fatal injury,Male,45-54
7/28/10,Mount Rainier National Park,Fall/Slips,Unintentional,Fatal injury,Male,45-54
7/28/10,Death Valley National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65
8/1/10,Denali National Park & Preserve,Other Transport Crash,Unintentional,Fatal injury,Male,45-54
8/1/10,Denali National Park & Preserve,Other Transport Crash,Unintentional,Fatal injury,Male,55-64
8/1/10,Denali National Park & Preserve,Other Transport Crash,Unintentional,Fatal injury,Male,65
8/6/10,Lake Mead National Recreation Area,Natural/Environmental,Unintentional,Fatal injury,Undetermined,Undetermined
8/7/10,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,45-54
8/7/10,Big South Fork National River and Recreation Area,Drowning,Unintentional,Fatal injury,Male,Undetermined
8/8/10,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,55-64
8/10/10,Gateway National Recreation Area,Drowning,Unintentional,Fatal injury,Male,25-34
8/12/10,Mount Rainier National Park,Fall/Slips,Unintentional,Fatal injury,Male,0-14
8/13/10,Gulf Islands National Seashore,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
8/14/10,Ozark National Scenic Riverways,Drowning,Unintentional,Fatal injury,Male,0-14
8/14/10,Denali National Park & Preserve,Fall/Slips,Unintentional,Fatal injury,Female,25-34
8/16/10,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,35-44
8/18/10,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,Undetermined
8/21/10,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
8/21/10,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Female,Undetermined
8/23/10,Grand Canyon National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Undetermined
8/26/10,Rocky Mountain National Park,Fall/Slips,Unintentional,Fatal injury,Male,Undetermined
8/30/10,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
8/31/10,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
9/3/10,North Cascades National Park,Fall/Slips,Unintentional,Fatal injury,Male,45-54
9/3/10,Yosemite National Park,Fall/Slips,Unintentional,Fatal injury,Male,45-54
9/10/10,Apostle Islands National Lakeshore,Drowning,Unintentional,Fatal injury,Male,45-54
9/13/10,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
9/13/10,Glacier National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
9/14/10,Redwood National and State Parks,Motor Vehicle Crash,Unintentional,Fatal injury,Female,65
9/18/10,Gauley River National Recreation Area,Drowning,Unintentional,Fatal injury,Female,25-34
9/19/10,Gauley River National Recreation Area,Drowning,Unintentional,Fatal injury,Female,Undetermined
9/20/10,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,Undetermined
9/21/10,Glacier National Park,Drowning,Unintentional,Fatal injury,Male,25-34
9/25/10,Lake Mead National Recreation Area,Fall/Slips,Unintentional,Fatal injury,Male,15-24
9/25/10,Bighorn Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Male,55-64
9/28/10,Grand Canyon National Park,Natural/Environmental,Unintentional,Fatal injury,Male,25-34
9/28/10,Lake Mead National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,Undetermined
9/30/10,Grand Canyon National Park,Natural/Environmental,Unintentional,Fatal injury,Male,25-34
10/1/10,Grand Canyon National Park,Fall/Slips,Unintentional,Fatal injury,Male,35-44
10/9/10,Sequoia & Kings Canyon National Parks,Undetermined,Undetermined,Fatal injury,Male,45-54
10/10/10,Gauley River National Recreation Area,Drowning,Unintentional,Fatal injury,Male,55-64
10/14/10,Big South Fork National River and Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65
10/15/10,Appalachian National Scenic Trail,Fall/Slips,Unintentional,Fatal injury,Female,65
10/16/10,Santa Monica Mountains National Recreation Area,Fall/Slips,Unintentional,Fatal injury,Male,15-24
10/16/10,Rocky Mountain National Park,Fall/Slips,Unintentional,Fatal injury,Male,45-54
10/16/10,Olympic National Park,Wildlife/Animal,Unintentional,Fatal injury,Male,55-64
10/19/10,Great Smoky Mountains National Park,Undetermined,Undetermined,Fatal injury,Male,45-54
10/20/10,Grand Canyon National Park,Fall/Slips,Unintentional,Fatal injury,Male,45-54
10/28/10,Grand Canyon National Park,Undetermined,Undetermined,Fatal injury,Male,35-44
10/31/10,Cuyahoga Valley National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
10/31/10,Cuyahoga Valley National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
11/3/10,Grand Canyon National Park,Drowning,Unintentional,Fatal injury,Male,Undetermined
11/4/10,Lake Mead National Recreation Area,Undetermined,Undetermined,Fatal injury,Undetermined,Undetermined
11/9/10,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,55-64
11/17/10,Great Smoky Mountains National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Female,45-54
11/17/10,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65
11/20/10,Rocky Mountain National Park,Fall/Slips,Unintentional,Fatal injury,Male,35-44
11/29/10,Lake Mead National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,55-64
12/4/10,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
12/4/10,Lake Mead National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,55-64
12/11/10,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,25-34
12/11/10,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
12/18/10,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,0-14
12/18/10,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Undetermined
12/18/10,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Undetermined
12/23/10,Lake Mead National Recreation Area,Undetermined,Undetermined,Fatal injury,Female,35-44
12/28/10,Yellowstone National Park,Poisoning,Unintentional,Fatal injury,Male,65
12/30/10,Lake Mead National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,65
12/31/10,Golden Gate National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,55-64
1/10/11,Grand Canyon National Park,Drowning,Unintentional,Fatal injury,Male,Undetermined
1/21/11,Golden Gate National Recreation Area,Drowning,Unintentional,Fatal injury,Male,35-44
1/22/11,Acadia National Park,Natural/Environmental,Unintentional,Fatal injury,Male,45-54
2/1/11,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Female,Undetermined
2/9/11,Grand Canyon National Park,Fall/Slips,Unintentional,Fatal injury,Female,55-64
2/19/11,Colonial National Historical Park,Motor Vehicle Crash,Unintentional,Fatal injury,Female,65
2/22/11,Glacier National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Undetermined
3/8/11,Golden Gate National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,55-64
3/15/11,Death Valley National Park,Fall/Slips,Unintentional,Fatal injury,Female,35-44
4/3/11,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,Undetermined
4/3/11,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,Undetermined
4/3/11,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,Undetermined
4/4/11,Gulf Islands National Seashore,Drowning,Unintentional,Fatal injury,Male,15-24
4/9/11,Golden Gate National Recreation Area,Drowning,Unintentional,Fatal injury,Male,45-54
4/13/11,Chattahoochee River National Recreation Area,Drowning,Unintentional,Fatal injury,Male,55-64
4/16/11,New River Gorge National River,Drowning,Unintentional,Fatal injury,Female,Undetermined
4/17/11,Death Valley National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
4/18/11,Joshua Tree National Park,Fall/Slips,Unintentional,Fatal injury,Male,25-34
4/20/11,George Washington Memorial Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,55-64
4/22/11,New River Gorge National River,Drowning,Unintentional,Fatal injury,Female,Undetermined
4/23/11,Grand Teton National Park,Natural/Environmental,Unintentional,Fatal injury,Male,25-34
4/23/11,Grand Teton National Park,Natural/Environmental,Unintentional,Fatal injury,Male,25-34
4/26/11,Big South Fork National River and Recreation Area,Drowning,Unintentional,Fatal injury,Male,Undetermined
4/27/11,Golden Gate National Recreation Area,Drowning,Unintentional,Fatal injury,Male,35-44
4/28/11,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
4/28/11,Denali National Park & Preserve,Natural/Environmental,Unintentional,Fatal injury,Male,35-44
4/28/11,Grand Canyon National Park,Fall/Slips,Unintentional,Fatal injury,Female,Undetermined
5/6/11,Grand Canyon National Park,Fall/Slips,Unintentional,Fatal injury,Male,Undetermined
5/10/11,Cuyahoga Valley National Park,Fall/Slips,Unintentional,Fatal injury,Male,25-34
5/10/11,Mount Rainier National Park,Other Specified,Unintentional,Fatal injury,Male,25-34
5/12/11,Denali National Park & Preserve,Fall/Slips,Unintentional,Fatal injury,Male,35-44
5/13/11,Yosemite National Park,Fall/Slips,Unintentional,Fatal injury,Male,55-64
5/13/11,Yosemite National Park,Fall/Slips,Unintentional,Fatal injury,Male,Undetermined
5/14/11,Chattahoochee River National Recreation Area,Drowning,Unintentional,Fatal injury,Male,45-54
5/15/11,Lake Meredith National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Female,15-24
5/16/11,Denali National Park & Preserve,Fall/Slips,Unintentional,Fatal injury,Male,65
5/19/11,Yosemite National Park,Undetermined,Undetermined,Fatal injury,Male,45-54
5/24/11,Denali National Park & Preserve,Natural/Environmental,Unintentional,Fatal injury,Male,25-34
5/24/11,Denali National Park & Preserve,Natural/Environmental,Unintentional,Fatal injury,Male,25-34
5/25/11,Denali National Park & Preserve,Fall/Slips,Unintentional,Fatal injury,Male,25-34
5/25/11,Denali National Park & Preserve,Fall/Slips,Unintentional,Fatal injury,Male,25-34
5/28/11,Buffalo National River,Drowning,Unintentional,Fatal injury,Male,15-24
5/28/11,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,65
5/28/11,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,65
5/31/11,Haleakala National Park,Natural/Environmental,Unintentional,Fatal injury,Female,0-14
5/31/11,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Undetermined
6/2/11,Buffalo National River,Drowning,Unintentional,Fatal injury,Male,15-24
6/3/11,Chattahoochee River National Recreation Area,Natural/Environmental,Unintentional,Fatal injury,Female,0-14
6/5/11,Glen Canyon National Recreation Area,Other Specified,Unintentional,Fatal injury,Female,0-14
6/7/11,Apostle Islands National Lakeshore,Drowning,Unintentional,Fatal injury,Male,15-24
6/9/11,Grand Canyon National Park,Drowning,Unintentional,Fatal injury,Male,35-44
6/10/11,Mount Rainier National Park,Natural/Environmental,Unintentional,Fatal injury,Male,45-54
6/12/11,Hawaii Volcanoes National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
6/13/11,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,55-64
6/15/11,Blue Ridge Parkway,Fall/Slips,Unintentional,Fatal injury,Male,15-24
6/15/11,White Sands National Park,Natural/Environmental,Unintentional,Fatal injury,Female,15-24
6/15/11,Grand Canyon National Park,Natural/Environmental,Unintentional,Fatal injury,Male,55-64
6/15/11,Big Bend National Park,Natural/Environmental,Unintentional,Fatal injury,Male,Undetermined
6/16/11,Great Smoky Mountains National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Undetermined
6/18/11,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65
6/24/11,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Undetermined
6/27/11,Yosemite National Park,Fall/Slips,Unintentional,Fatal injury,Male,65
6/27/11,Mojave National Preserve,Other Specified,Unintentional,Fatal injury,Male,Undetermined
6/29/11,Yosemite National Park,Drowning,Unintentional,Fatal injury,Male,45-54
6/29/11,Yosemite National Park,Drowning,Unintentional,Fatal injury,Male,45-54
6/30/11,Denali National Park & Preserve,Fall/Slips,Unintentional,Fatal injury,Male,35-44
6/30/11,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,35-44
7/1/11,North Cascades National Park,Fall/Slips,Unintentional,Fatal injury,Undetermined,Undetermined
7/2/11,Ozark National Scenic Riverways,Drowning,Unintentional,Fatal injury,Male,25-34
7/2/11,New River Gorge National River,Fall/Slips,Unintentional,Fatal injury,Male,35-44
7/3/11,Sequoia & Kings Canyon National Parks,Drowning,Unintentional,Fatal injury,Male,45-54
7/3/11,Chesapeake & Ohio Canal National Historical Park,Natural/Environmental,Unintentional,Fatal injury,Male,55-64
7/6/11,Yellowstone National Park,Wildlife/Animal,Unintentional,Fatal injury,Male,55-64
7/7/11,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
7/7/11,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Undetermined
7/11/11,Great Smoky Mountains National Park,Drowning,Unintentional,Fatal injury,Male,25-34
7/12/11,Canaveral National Seashore,Drowning,Unintentional,Fatal injury,Male,45-54
7/15/11,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Male,Undetermined
7/15/11,Gulf Islands National Seashore,Drowning,Unintentional,Fatal injury,Male,Undetermined
7/16/11,New River Gorge National River,Drowning,Unintentional,Fatal injury,Female,Undetermined
7/18/11,Glacier National Park,Natural/Environmental,Unintentional,Fatal injury,Male,25-34
7/18/11,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,35-44
7/19/11,Yosemite National Park,Drowning,Unintentional,Fatal injury,Female,15-24
7/19/11,Yosemite National Park,Drowning,Unintentional,Fatal injury,Male,15-24
7/19/11,Yosemite National Park,Drowning,Unintentional,Fatal injury,Male,25-34
7/19/11,Yosemite National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
7/21/11,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
7/22/11,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65
7/23/11,Glacier National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65
7/23/11,Lake Roosevelt National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Undetermined
7/27/11,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,15-24
7/28/11,Curecanti National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
7/28/11,Lake Mead National Recreation Area,Other Transport Crash,Unintentional,Fatal injury,Male,Undetermined
7/28/11,Glen Canyon National Recreation Area,Other Transport Crash,Unintentional,Fatal injury,Male,Undetermined
7/30/11,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,Undetermined
7/30/11,Great Smoky Mountains National Park,Drowning,Unintentional,Fatal injury,Female,Undetermined
7/31/11,Yosemite National Park,Fall/Slips,Unintentional,Fatal injury,Female,25-34
7/31/11,Saint Croix National Scenic Riverway,Drowning,Unintentional,Fatal injury,Male,25-34
7/31/11,Grand Teton National Park,Fall/Slips,Unintentional,Fatal injury,Male,35-44
7/31/11,Lake Mead National Recreation Area,Natural/Environmental,Unintentional,Fatal injury,Female,Undetermined
8/1/11,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
8/4/11,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,15-24
8/4/11,Grand Canyon National Park,Natural/Environmental,Unintentional,Fatal injury,Male,55-64
8/4/11,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Undetermined
8/5/11,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
8/5/11,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Undetermined
8/6/11,Yosemite National Park,Fall/Slips,Unintentional,Fatal injury,Male,15-24
8/7/11,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
8/8/11,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,55-64
8/10/11,Yosemite National Park,Fall/Slips,Unintentional,Fatal injury,Male,15-24
8/15/11,Delaware Water Gap National Recreation Area,Poisoning,Unintentional,Fatal injury,Male,45-54
8/18/11,Bryce Canyon National Park,Natural/Environmental,Unintentional,Fatal injury,Male,45-54
8/20/11,Shenandoah National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
8/21/11,Cape Cod National Seashore,Undetermined,Undetermined,Fatal injury,Female,35-44
8/22/11,Yosemite National Park,Fall/Slips,Unintentional,Fatal injury,Male,15-24
8/22/11,Joshua Tree National Park,Natural/Environmental,Unintentional,Fatal injury,Female,35-44
8/22/11,Joshua Tree National Park,Natural/Environmental,Unintentional,Fatal injury,Male,35-44
8/23/11,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Female,Undetermined
8/26/11,Yellowstone National Park,Wildlife/Animal,Unintentional,Fatal injury,Male,55-64
8/27/11,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,35-44
8/28/11,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
8/28/11,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Undetermined,Undetermined
8/28/11,Grand Canyon National Park,Natural/Environmental,Unintentional,Fatal injury,Male,Undetermined
8/28/11,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Undetermined
8/29/11,Bighorn Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Undetermined,Undetermined
8/29/11,Bighorn Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Undetermined,Undetermined
8/31/11,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,35-44
8/31/11,Cape Cod National Seashore,Other Transport Crash,Unintentional,Fatal injury,Male,45-54
8/31/11,Sleeping Bear Dunes National Lakeshore,Drowning,Unintentional,Fatal injury,Male,65
9/5/11,Prince William Forest,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
9/6/11,Natchez Trace Parkway,Undetermined,Undetermined,Fatal injury,Male,45-54
9/11/11,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,0-14
9/12/11,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,25-34
9/12/11,Mount Rainier National Park,Fall/Slips,Unintentional,Fatal injury,Male,55-64
9/14/11,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Undetermined
9/14/11,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Undetermined
9/18/11,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,35-44
9/18/11,Grand Canyon National Park,Drowning,Unintentional,Fatal injury,Male,55-64
9/18/11,Grand Canyon National Park,Drowning,Unintentional,Fatal injury,Male,55-64
9/19/11,Yosemite National Park,Fall/Slips,Unintentional,Fatal injury,Male,45-54
9/26/11,New River Gorge National River,Drowning,Unintentional,Fatal injury,Female,35-44
9/28/11,Biscayne National Park,Other Transport Crash,Unintentional,Fatal injury,Male,Undetermined
10/7/11,Lake Roosevelt National Recreation Area,Drowning,Unintentional,Fatal injury,Male,55-64
10/8/11,Biscayne National Park,Other Transport Crash,Unintentional,Fatal injury,Male,Undetermined
10/9/11,Shenandoah National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Female,45-54
10/9/11,Shenandoah National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
10/12/11,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
10/16/11,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,25-34
10/18/11,Baltimore-Washington Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
10/21/11,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Undetermined,Undetermined
11/1/11,Golden Gate National Recreation Area,Undetermined,Undetermined,Fatal injury,Undetermined,Undetermined
11/3/11,Cape Cod National Seashore,Drowning,Unintentional,Fatal injury,Female,45-54
11/4/11,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Male,15-24
11/9/11,Assateague Island National Seashore,Drowning,Unintentional,Fatal injury,Undetermined,Undetermined
11/12/11,Cuyahoga Valley National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
11/12/11,Mount Rainier National Park,Fall/Slips,Unintentional,Fatal injury,Male,55-64
11/13/11,Delaware Water Gap National Recreation Area,Fall/Slips,Unintentional,Fatal injury,Female,65
11/17/11,Grand Canyon National Park,Undetermined,Undetermined,Fatal injury,Male,Undetermined
11/20/11,Virgin Islands National Park,Drowning,Unintentional,Fatal injury,Male,65
11/23/11,Saratoga,Drowning,Unintentional,Fatal injury,Male,35-44
11/25/11,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,65
11/30/11,Colonial National Historical Park,Undetermined,Undetermined,Fatal injury,Male,35-44
12/7/11,Lake Mead National Recreation Area,Other Transport Crash,Unintentional,Fatal injury,Undetermined,Undetermined
12/7/11,Lake Mead National Recreation Area,Other Transport Crash,Unintentional,Fatal injury,Undetermined,Undetermined
12/7/11,Lake Mead National Recreation Area,Other Transport Crash,Unintentional,Fatal injury,Undetermined,Undetermined
12/7/11,Lake Mead National Recreation Area,Other Transport Crash,Unintentional,Fatal injury,Undetermined,Undetermined
12/7/11,Lake Mead National Recreation Area,Other Transport Crash,Unintentional,Fatal injury,Undetermined,Undetermined
12/12/11,Mount Rainier National Park,Natural/Environmental,Unintentional,Fatal injury,Male,45-54
12/26/11,Cape Cod National Seashore,Undetermined,Undetermined,Fatal injury,Male,35-44
12/28/11,Virgin Islands National Park,Drowning,Unintentional,Fatal injury,Male,45-54
1/1/12,Lake Mead National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,45-54
1/12/12,Grand Canyon National Park,Fall/Slips,Unintentional,Fatal injury,Male,35-44
1/16/12,Mount Rainier National Park,Undetermined,Undetermined,Fatal injury,Female,25-34
1/16/12,Mount Rainier National Park,Undetermined,Undetermined,Fatal injury,Male,35-44
1/16/12,Mount Rainier National Park,Undetermined,Undetermined,Fatal injury,Female,45-54
1/16/12,Mount Rainier National Park,Undetermined,Undetermined,Fatal injury,Male,45-54
1/19/12,Saguaro National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Female,Undetermined
1/21/12,Yosemite National Park,Natural/Environmental,Unintentional,Fatal injury,Male,25-34
2/10/12,Saguaro National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
2/15/12,Grand Teton National Park,Other Transport Crash,Unintentional,Fatal injury,Male,Undetermined
2/25/12,Saguaro National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Female,65
2/26/12,Grand Canyon National Park,Fall/Slips,Unintentional,Fatal injury,Female,15-24
3/7/12,Grand Teton National Park,Natural/Environmental,Unintentional,Fatal injury,Male,Undetermined
3/7/12,Grand Teton National Park,Natural/Environmental,Unintentional,Fatal injury,Male,Undetermined
3/11/12,Channel Islands National Park,Drowning,Unintentional,Fatal injury,Male,35-44
3/11/12,Channel Islands National Park,Drowning,Unintentional,Fatal injury,Male,35-44
3/11/12,Channel Islands National Park,Drowning,Unintentional,Fatal injury,Male,45-54
3/11/12,Channel Islands National Park,Drowning,Unintentional,Fatal injury,Male,45-54
3/13/12,Death Valley National Park,Undetermined,Undetermined,Fatal injury,Male,65
3/17/12,Wind Cave National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
3/18/12,Little River Canyon National Preserve,Drowning,Unintentional,Fatal injury,Male,15-24
3/27/12,Yosemite National Park,Poisoning,Unintentional,Fatal injury,Female,25-34
4/8/12,Big Thicket National Preserve,Drowning,Unintentional,Fatal injury,Male,15-24
4/12/12,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Undetermined,Undetermined
4/15/12,Death Valley National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65
4/17/12,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,35-44
4/18/12,Blue Ridge Parkway,Undetermined,Undetermined,Fatal injury,Male,15-24
4/25/12,Delaware Water Gap National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
4/26/12,Grand Canyon National Park,Fall/Slips,Unintentional,Fatal injury,Male,45-54
4/28/12,Gauley River National Recreation Area,Drowning,Unintentional,Fatal injury,Male,45-54
5/4/12,Mojave National Preserve,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65
5/6/12,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
5/14/12,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
5/16/12,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,Undetermined
5/18/12,Denali National Park & Preserve,Fall/Slips,Unintentional,Fatal injury,Male,Undetermined
5/20/12,Big South Fork National River and Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
5/20/12,Lake Meredith National Recreation Area,Other Specified,Unintentional,Fatal injury,Female,55-64
5/22/12,Grand Canyon National Park,Fall/Slips,Unintentional,Fatal injury,Male,15-24
5/23/12,Denali National Park & Preserve,Fall/Slips,Unintentional,Fatal injury,Male,35-44
5/25/12,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Undetermined
5/25/12,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Undetermined
5/26/12,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,Undetermined
5/27/12,Canyon De Chelly National Monument,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
5/28/12,Colonial National Historical Park,Drowning,Unintentional,Fatal injury,Male,15-24
5/30/12,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,35-44
5/30/12,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,55-64
6/6/12,Joshua Tree National Park,Fall/Slips,Unintentional,Fatal injury,Male,35-44
